id,transcription
0,HE HOPED THERE WOULD BE STILL FOR DINNER TURNIPS AND CARRIAGE AND BRUISED POTATOES AND FAT MUTENT PIECES TO BE LAIDLED OUT IN THICK PEPPER FAT AND THICK PEPPER FATEN SAWS
1,STUFF IT IN TO YOU HIS BELLY COUNCIL HIM
2,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALLID QUARTER OF THE PROPHELS
3,OH THIRTIE AND HE GOOD IN YOUR MIND
4,NOM BUT DONE FRESH NELIE IS WAITING ON YOU COULD NOT HUSBAND
5,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLIES FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS
6,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHERE ON ANOTHER RECATION BEGAN TO ONE FOLD ITSELF SLOWLY AND TO SPREAD ABRAWOD ITS WIDENEDING TAIL
7,A COLD LUCID INDIFFERENCE RANG IN HIS SOUL
8,THE CHAYOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF
9,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE
10,WELL NOW IT IS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK
11,ON SATURDAY MORNING WHEN THE SO DOUBTY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A CRUSHING NAILING DESK AT THE RIGHT OF THE ALTER FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSES
12,HER EYES SEEMED TO REGARD HIM WITH MY OLD PITY HER HOLDINGNESS A STRANGE LIGHT GLOWING FAINTLY UPON HER FRAIL FLESH DID NOT HUMILIATE THE SINNER WHO APPROACHED HER
13,IF EVER HE WAS IMPELLED TO CASTS IN FROM HIM AND TO REPENT THE IMPULSE THAT MOVED HIM WAS THE WISH TO BE HER NIGHT
14,HE TRIED TO THINK HOW IT COULD BE
15,BUT THE DUSK DEEPENING IN THE SCHOOL ROOM COVERED OVER HIS THOUGHTS THE BELL RANG
16,THEN YOU CAN ASK HIM QUESTIONS ON THE CATICISM LITTLEUS
17,STEVEN LEANING BACK AND DRAWING EYEDLY ON HIS SCRIBBLER LISTENED TO THE TALK ABOUT HIM WHICH HER EN CHECKED FROM TIME TO TIME BY SAYING
18,IT WAS STRANGE TO THAT HE FOUND AN ARID PLEASURE IN FOLLOWING UP TO THE END THE RIGID LINES OF THE DOCTRINES OF THE CHURCH AND PENETRATING INTO OBSCURE SILENCE ONLY TO HEAR AND FEEL THE MORE DEEPLY HIS OWN CONDEMNATION
